"slider_crank_v2"

"Time      "	".JOINT_3.Element_Force.X"	".JOINT_3.Element_Force.Y"	".JOINT_3.Element_Force.Mag"
1.860000e-01	-1.644313e-02	7.714488e-01	7.716240e-01
1.862616e-01	-1.321325e-03	7.969014e-01	7.969042e-01
1.865381e-01	1.026499e-01	2.202864e-01	2.430290e-01
1.870000e-01	-1.306618e-01	1.372684e+00	1.378894e+00
1.876667e-01	4.925735e-02	4.793717e-01	4.818963e-01
1.880000e-01	-8.691957e-02	1.154836e+00	1.158103e+00
1.885000e-01	9.772361e-03	6.769322e-01	6.770028e-01
1.890000e-01	5.217956e-03	6.879230e-01	6.879447e-01
1.893787e-01	1.447397e-01	2.198813e-01	2.632439e-01
1.897060e-01	6.596676e-02	4.750481e-01	4.796067e-01
1.900000e-01	-9.218393e-03	7.333789e-01	7.334420e-01
1.902681e-01	-1.952376e-03	7.015202e-01	7.015275e-01
1.907315e-01	2.436808e-02	5.975488e-01	5.980462e-01
1.910000e-01	1.627388e-02	6.350033e-01	6.352170e-01
1.920000e-01	-1.224102e-02	7.803757e-01	7.804749e-01
1.930000e-01	1.543973e-02	6.475156e-01	6.476997e-01
1.937229e-01	-1.993048e-02	8.145784e-01	8.148265e-01
1.940000e-01	5.706015e-02	5.030550e-01	5.062829e-01
1.946039e-01	9.860921e-02	2.600409e-01	2.781098e-01
1.950000e-01	-6.848808e-03	7.491494e-01	7.491857e-01
1.952583e-01	7.066766e-02	3.657419e-01	3.725071e-01
1.960000e-01	-5.034147e-02	9.653418e-01	9.666535e-01
1.970000e-01	-1.983140e-03	7.277693e-01	7.277720e-01
1.980000e-01	-5.632241e-03	7.473534e-01	7.473786e-01
1.983613e-01	3.692726e-02	5.619480e-01	5.631623e-01
1.986807e-01	5.468080e-02	5.978568e-01	6.003552e-01
1.990000e-01	2.607270e-02	6.400186e-01	6.405502e-01
1.993333e-01	2.180075e-02	6.049537e-01	6.053471e-01
2.000000e-01	5.114443e-03	6.977179e-01	6.977396e-01
2.005685e-01	-7.269569e-03	7.584564e-01	7.584946e-01
2.010000e-01	1.035250e-02	6.765085e-01	6.765877e-01
2.016531e-01	-1.649552e-03	7.349142e-01	7.349160e-01
2.020000e-01	-2.055345e-02	8.290505e-01	8.293052e-01
2.022580e-01	6.002217e-02	4.406167e-01	4.446874e-01
